,0,period
0,"[512, 5, 6, 8, 524, 14, 530, 536, 26, 541, 37, 38, 40, 43, 46, 559, 565, 566, 54, 56, 569, 58, 574, 584, 588, 592, 81, 602, 604, 94, 609, 99, 102, 107, 109, 117, 121, 126, 130, 133, 134, 136, 142, 145, 170, 174, 176, 179, 181, 229, 235, 240, 242, 273, 284, 314, 321, 340, 347, 349, 353, 373, 374, 379, 385, 386, 394, 404, 411, 436, 444, 446, 447, 455, 458, 468, 470, 476, 485, 486, 498, 507]",1996
1,"[512, 5, 6, 8, 524, 14, 530, 536, 26, 541, 35, 37, 38, 40, 43, 46, 559, 565, 54, 566, 56, 569, 58, 574, 584, 588, 592, 81, 602, 604, 94, 609, 99, 102, 107, 109, 117, 121, 126, 130, 133, 134, 136, 142, 145, 162, 170, 173, 174, 176, 179, 181, 191, 192, 229, 235, 240, 242, 243, 262, 273, 284, 314, 321, 340, 347, 349, 353, 373, 374, 379, 385, 386, 394, 395, 402, 404, 411, 429, 436, 444, 446, 447, 455, 458, 468, 470, 476, 485, 486, 498, 507]",1996
2,"[512, 5, 6, 8, 524, 14, 530, 536, 26, 541, 35, 37, 38, 40, 43, 46, 559, 565, 54, 566, 56, 569, 58, 574, 584, 588, 592, 81, 602, 604, 94, 609, 99, 102, 107, 109, 117, 121, 126, 130, 133, 134, 136, 142, 145, 162, 170, 174, 176, 179, 181, 192, 229, 235, 240, 242, 262, 273, 284, 314, 321, 340, 347, 349, 353, 373, 374, 379, 385, 386, 394, 395, 402, 404, 411, 429, 436, 444, 446, 447, 455, 458, 468, 470, 476, 485, 486, 498, 507]",1996
3,"[512, 385, 130, 5, 6, 134, 136, 394, 524, 142, 14, 273, 145, 26, 411, 284, 541, 37, 40, 170, 43, 174, 559, 176, 46, 179, 436, 565, 181, 56, 569, 58, 314, 574, 447, 321, 455, 584, 458, 588, 592, 81, 340, 468, 470, 602, 347, 349, 94, 353, 99, 229, 102, 486, 235, 107, 109, 240, 242, 498, 117, 374, 373, 121, 379, 126]",1996
4,"[512, 5, 6, 8, 524, 14, 530, 536, 26, 541, 37, 38, 40, 43, 46, 559, 565, 54, 566, 56, 569, 58, 574, 584, 588, 592, 81, 602, 604, 94, 609, 99, 102, 107, 109, 117, 121, 126, 130, 133, 134, 136, 142, 145, 170, 174, 176, 179, 181, 192, 229, 235, 240, 242, 262, 273, 284, 314, 321, 340, 347, 349, 353, 373, 374, 379, 385, 386, 394, 402, 404, 411, 436, 444, 446, 447, 455, 458, 468, 470, 476, 485, 486, 498, 507]",1996
5,"[389, 529, 276, 277, 32, 171, 44, 302, 559, 304, 437, 71, 456, 337, 84, 90, 350, 364, 492, 372, 120]",1997
6,"[389, 521, 270, 529, 150, 32, 44, 304, 437, 451, 71, 456, 337, 84, 350, 364, 492, 372, 120]",1997
7,"[32, 389, 71, 456, 171, 364, 492, 44, 304, 337, 529, 372, 277, 276, 90, 350]",1997
8,"[32, 389, 456, 171, 364, 492, 304, 337, 529]",1997
9,"[389, 529, 276, 277, 32, 171, 44, 302, 304, 437, 71, 456, 337, 90, 350, 364, 492, 372, 120]",1997
