,user_id,group_id,period
0,38,2120,1996-08
1,107,2120,1996-08
2,109,2120,1996-08
3,130,2120,1996-08
4,176,2120,1996-08
5,179,2120,1996-08
6,229,2120,1996-08
7,447,2120,1996-08
8,486,2120,1996-08
9,498,2120,1996-08
10,512,2120,1996-08
11,574,2120,1996-08
12,588,2120,1996-08
13,602,2120,1996-08
14,109,192,1996-08
15,179,192,1996-08
16,284,192,1996-08
17,486,192,1996-08
18,498,192,1996-08
19,512,192,1996-08
20,536,192,1996-08
21,541,192,1996-08
22,584,192,1996-08
23,592,192,1996-08
24,109,187,1996-08
25,162,187,1996-08
26,179,187,1996-08
27,455,187,1996-08
28,476,187,1996-08
29,486,187,1996-08
30,498,187,1996-08
31,512,187,1996-08
32,109,193,1996-08
33,179,193,1996-08
34,486,193,1996-08
35,498,193,1996-08
36,512,193,1996-08
37,46,2615,1996-08
38,134,2615,1996-08
39,176,2615,1996-08
40,512,2615,1996-08
41,574,2615,1996-08
42,588,2615,1996-08
43,592,2615,1996-08
44,602,2615,1996-08
45,176,681,1996-08
46,353,681,1996-08
47,455,681,1996-08
48,512,681,1996-08
49,574,681,1996-08
50,588,681,1996-08
51,602,681,1996-08
52,176,688,1996-08
53,512,688,1996-08
54,574,688,1996-08
55,588,688,1996-08
56,602,688,1996-08
57,56,2940,1996-08
58,235,2940,1996-08
59,349,2940,1996-08
60,411,2940,1996-08
61,444,2940,1996-08
62,455,2940,1996-08
63,485,2940,1996-08
64,512,2940,1996-08
65,592,2940,1996-08
66,107,179,1996-08
67,229,179,1996-08
68,486,179,1996-08
69,498,179,1996-08
70,536,179,1996-08
71,584,179,1996-08
72,592,179,1996-08
73,40,2323,1996-08
74,99,2323,1996-08
75,107,2323,1996-08
76,229,2323,1996-08
77,385,2323,1996-08
78,486,2323,1996-08
79,498,2323,1996-08
80,107,178,1996-08
81,229,178,1996-08
82,486,178,1996-08
83,498,178,1996-08
84,192,945,1996-08
85,235,945,1996-08
86,411,945,1996-08
87,485,945,1996-08
88,486,945,1996-08
89,498,945,1996-08
90,536,945,1996-08
91,584,945,1996-08
92,592,945,1996-08
93,486,2747,1996-08
94,498,2747,1996-08
95,536,2747,1996-08
96,584,2747,1996-08
97,592,2747,1996-08
98,142,483,1996-08
