,0,period
0,"[5, 6, 273, 284, 541, 38, 40, 43, 559, 54, 56, 314, 574, 321, 584, 602, 604, 94, 107, 109, 117, 373, 126, 385, 386, 130, 136, 394, 395, 170, 173, 174, 179, 436, 444, 447, 468, 470, 229, 235, 240, 242]",1996
1,"[512, 6, 8, 524, 26, 284, 43, 46, 559, 56, 569, 58, 314, 574, 584, 588, 592, 340, 602, 347, 604, 94, 353, 609, 107, 117, 373, 379, 126, 386, 130, 133, 136, 394, 404, 411, 170, 174, 179, 181, 444, 192, 458, 468, 470, 476, 229, 485, 240, 498, 242]",1996
2,"[321, 130, 6, 136, 584, 394, 468, 470, 602, 94, 229, 43, 174, 240, 242, 179, 117, 373, 56, 574, 447]",1996
3,"[512, 385, 6, 134, 136, 394, 524, 14, 592, 404, 602, 411, 604, 541, 353, 102, 40, 170, 43, 109, 429, 174, 240, 176, 117, 566, 181, 314, 447]",1996
4,"[386, 6, 8, 136, 584, 142, 404, 470, 602, 411, 347, 26, 94, 353, 43, 109, 498, 179, 117, 373, 507, 565, 181, 126, 379, 446, 191]",1996
5,"[512, 5, 6, 8, 524, 14, 530, 536, 26, 541, 37, 38, 40, 43, 46, 559, 565, 54, 566, 56, 569, 58, 574, 584, 588, 592, 81, 602, 604, 94, 609, 99, 102, 107, 109, 117, 121, 126, 130, 133, 134, 136, 142, 145, 170, 173, 174, 176, 179, 181, 191, 229, 235, 240, 242, 243, 273, 284, 314, 321, 340, 347, 349, 353, 373, 374, 379, 385, 386, 394, 395, 402, 404, 411, 429, 436, 444, 446, 447, 455, 458, 468, 470, 476, 485, 486, 498, 507]",1996
6,"[385, 5, 6, 455, 136, 458, 14, 468, 404, 470, 602, 347, 411, 349, 94, 353, 35, 99, 38, 102, 486, 40, 170, 107, 109, 46, 242, 117, 566, 373, 121, 58, 507, 444, 446, 447]",1996
7,"[512, 6, 262, 8, 273, 530, 43, 559, 566, 58, 314, 321, 584, 592, 602, 347, 349, 94, 109, 117, 373, 379, 385, 402, 404, 411, 162, 170, 173, 174, 436, 181, 446, 447, 455, 458, 470, 476, 229]",1996
8,"[512, 5, 262, 530, 536, 26, 35, 38, 40, 43, 46, 566, 58, 574, 584, 588, 602, 604, 109, 117, 373, 121, 126, 130, 386, 133, 136, 145, 411, 429, 174, 179, 444, 446, 191, 455, 458, 468, 470, 476, 485, 229, 235, 498, 242]",1996
9,"[386, 446, 5, 6, 455, 136, 584, 394, 395, 273, 470, 602, 26, 604, 411, 94, 476, 353, 229, 40, 170, 43, 235, 109, 174, 559, 240, 498, 179, 117, 373, 565, 126, 191]",1996
