,user_id,group_id,period
0,40,8399,1996-05
1,130,8399,1996-05
2,134,8399,1996-05
3,284,8399,1996-05
4,444,8399,1996-05
5,40,8380,1996-05
6,107,8380,1996-05
7,130,8380,1996-05
8,468,8380,1996-05
9,536,8380,1996-05
10,40,8465,1996-05
11,99,8465,1996-05
12,130,8465,1996-05
13,191,8465,1996-05
14,284,8465,1996-05
15,353,8465,1996-05
16,40,8379,1996-05
17,107,8379,1996-05
18,130,8379,1996-05
19,284,8379,1996-05
20,40,8462,1996-05
21,99,8462,1996-05
22,107,8462,1996-05
23,130,8462,1996-05
24,436,8462,1996-05
25,40,8378,1996-05
26,107,8378,1996-05
27,130,8378,1996-05
28,40,8403,1996-05
29,134,8403,1996-05
30,145,8403,1996-05
31,284,8403,1996-05
32,353,8403,1996-05
33,40,8381,1996-05
34,107,8381,1996-05
35,134,8381,1996-05
36,284,8381,1996-05
37,468,8381,1996-05
38,40,8404,1996-05
39,134,8404,1996-05
40,284,8404,1996-05
41,35,7410,1996-05
42,40,7410,1996-05
43,107,7410,1996-05
44,429,7410,1996-05
45,468,7410,1996-05
46,40,8389,1996-05
47,107,8389,1996-05
48,284,8389,1996-05
49,353,8389,1996-05
50,40,8388,1996-05
51,107,8388,1996-05
52,284,8388,1996-05
53,130,1550,1996-05
54,134,1550,1996-05
55,145,1550,1996-05
56,353,1550,1996-05
57,107,956,1996-05
58,130,956,1996-05
59,429,956,1996-05
60,436,956,1996-05
61,107,954,1996-05
62,130,954,1996-05
63,353,954,1996-05
64,436,954,1996-05
65,107,957,1996-05
66,130,957,1996-05
67,436,957,1996-05
68,107,963,1996-05
69,134,963,1996-05
70,145,963,1996-05
71,353,963,1996-05
72,429,963,1996-05
73,40,8467,1996-05
74,99,8467,1996-05
75,130,8467,1996-05
76,284,8467,1996-05
77,353,8467,1996-05
78,604,8467,1996-05
79,40,8400,1996-05
80,130,8400,1996-05
81,136,8400,1996-05
82,284,8400,1996-05
83,40,8468,1996-05
84,99,8468,1996-05
85,130,8468,1996-05
86,429,8468,1996-05
87,130,1553,1996-05
88,136,1553,1996-05
89,353,1553,1996-05
90,429,1553,1996-05
91,35,7415,1996-05
92,40,7415,1996-05
93,284,7415,1996-05
94,353,7415,1996-05
95,429,7415,1996-05
96,40,8470,1996-05
97,99,8470,1996-05
98,136,8470,1996-05
99,284,8470,1996-05
100,353,8470,1996-05
101,429,8470,1996-05
102,604,8470,1996-05
103,40,8476,1996-05
104,99,8476,1996-05
