,user_id,group_id,period
0,40,2841,1996-05
1,107,2841,1996-05
2,130,2841,1996-05
3,145,2841,1996-05
4,40,2844,1996-05
5,107,2844,1996-05
6,136,2844,1996-05
7,145,2844,1996-05
8,353,2844,1996-05
9,468,2844,1996-05
10,40,2849,1996-05
11,107,2849,1996-05
12,145,2849,1996-05
13,284,2849,1996-05
14,604,2849,1996-05
15,40,2848,1996-05
16,107,2848,1996-05
17,145,2848,1996-05
18,107,239,1996-05
19,130,239,1996-05
20,136,239,1996-05
21,145,239,1996-05
22,468,239,1996-05
23,107,241,1996-05
24,130,241,1996-05
25,145,241,1996-05
26,429,241,1996-05
27,604,241,1996-05
28,107,240,1996-05
29,130,240,1996-05
30,145,240,1996-05
31,107,247,1996-05
32,136,247,1996-05
33,145,247,1996-05
34,468,247,1996-05
35,604,247,1996-05
36,107,246,1996-05
37,136,246,1996-05
38,145,246,1996-05
39,468,246,1996-05
40,107,252,1996-05
41,145,252,1996-05
42,604,252,1996-05
43,40,2853,1996-05
44,130,2853,1996-05
45,136,2853,1996-05
46,145,2853,1996-05
47,353,2853,1996-05
48,436,2853,1996-05
49,40,2855,1996-05
50,130,2855,1996-05
51,145,2855,1996-05
52,604,2855,1996-05
53,40,2854,1996-05
54,130,2854,1996-05
55,145,2854,1996-05
56,40,2861,1996-05
57,136,2861,1996-05
58,145,2861,1996-05
59,353,2861,1996-05
60,604,2861,1996-05
61,40,2860,1996-05
62,136,2860,1996-05
63,145,2860,1996-05
64,353,2860,1996-05
65,40,2881,1996-05
66,284,2881,1996-05
67,429,2881,1996-05
68,604,2881,1996-05
69,40,2866,1996-05
70,136,2866,1996-05
71,284,2866,1996-05
72,353,2866,1996-05
73,604,2866,1996-05
74,40,2882,1996-05
75,284,2882,1996-05
76,604,2882,1996-05
77,136,1000,1996-05
78,429,1000,1996-05
79,604,1000,1996-05
80,40,2870,1996-05
81,136,2870,1996-05
82,353,2870,1996-05
83,436,2870,1996-05
84,604,2870,1996-05
85,40,2869,1996-05
86,136,2869,1996-05
87,353,2869,1996-05
88,436,2869,1996-05
89,40,2871,1996-05
90,136,2871,1996-05
91,353,2871,1996-05
92,604,2871,1996-05
93,40,2868,1996-05
