,user_id,group_id,period
0,6,2810,1996
1,37,2810,1996
2,43,2810,1996
3,56,2810,1996
4,58,2810,1996
5,102,2810,1996
6,109,2810,1996
7,117,2810,1996
8,126,2810,1996
9,133,2810,1996
10,142,2810,1996
11,179,2810,1996
12,181,2810,1996
13,229,2810,1996
14,235,2810,1996
15,284,2810,1996
16,347,2810,1996
17,379,2810,1996
18,385,2810,1996
19,394,2810,1996
20,404,2810,1996
21,411,2810,1996
22,436,2810,1996
23,447,2810,1996
24,455,2810,1996
25,458,2810,1996
26,470,2810,1996
27,476,2810,1996
28,485,2810,1996
29,486,2810,1996
30,498,2810,1996
31,507,2810,1996
32,512,2810,1996
33,530,2810,1996
34,541,2810,1996
35,565,2810,1996
36,566,2810,1996
37,584,2810,1996
38,592,2810,1996
39,609,2810,1996
40,6,2809,1996
41,37,2809,1996
42,43,2809,1996
43,54,2809,1996
44,56,2809,1996
45,58,2809,1996
46,102,2809,1996
47,109,2809,1996
48,117,2809,1996
49,121,2809,1996
50,126,2809,1996
51,133,2809,1996
52,162,2809,1996
53,170,2809,1996
54,179,2809,1996
55,229,2809,1996
56,235,2809,1996
57,284,2809,1996
58,314,2809,1996
59,373,2809,1996
60,374,2809,1996
61,385,2809,1996
62,404,2809,1996
63,411,2809,1996
64,436,2809,1996
65,444,2809,1996
66,447,2809,1996
67,455,2809,1996
68,470,2809,1996
69,476,2809,1996
70,486,2809,1996
71,498,2809,1996
72,512,2809,1996
73,541,2809,1996
74,559,2809,1996
75,565,2809,1996
76,566,2809,1996
77,592,2809,1996
78,609,2809,1996
79,6,2777,1996
80,37,2777,1996
81,38,2777,1996
82,43,2777,1996
83,46,2777,1996
84,56,2777,1996
85,58,2777,1996
86,94,2777,1996
87,102,2777,1996
88,109,2777,1996
89,117,2777,1996
90,126,2777,1996
91,133,2777,1996
92,176,2777,1996
93,179,2777,1996
94,229,2777,1996
95,235,2777,1996
96,242,2777,1996
97,284,2777,1996
98,340,2777,1996
99,353,2777,1996
100,385,2777,1996
101,404,2777,1996
102,411,2777,1996
103,436,2777,1996
104,447,2777,1996
105,455,2777,1996
106,470,2777,1996
107,476,2777,1996
108,486,2777,1996
109,498,2777,1996
110,512,2777,1996
111,541,2777,1996
112,565,2777,1996
113,566,2777,1996
114,588,2777,1996
115,592,2777,1996
116,602,2777,1996
