,user_id,group_id,period
0,107,70,1996-05
1,536,70,1996-05
2,40,729,1996-05
3,99,729,1996-05
4,107,729,1996-05
5,107,67,1996-05
6,130,67,1996-05
7,40,731,1996-05
8,99,731,1996-05
9,353,731,1996-05
10,35,618,1996-05
11,107,618,1996-05
12,429,618,1996-05
13,468,618,1996-05
14,107,68,1996-05
15,134,68,1996-05
16,35,619,1996-05
17,40,619,1996-05
18,107,619,1996-05
19,107,69,1996-05
20,136,69,1996-05
21,40,721,1996-05
22,107,721,1996-05
23,35,617,1996-05
24,107,617,1996-05
25,136,131,1996-05
26,284,131,1996-05
27,40,724,1996-05
28,191,724,1996-05
29,353,724,1996-05
30,40,730,1996-05
31,99,730,1996-05
32,191,730,1996-05
33,353,630,1996-05
34,444,630,1996-05
35,604,630,1996-05
36,191,285,1996-05
37,284,285,1996-05
38,353,285,1996-05
39,40,726,1996-05
40,353,726,1996-05
41,40,725,1996-05
42,191,725,1996-05
43,444,725,1996-05
44,35,621,1996-05
45,429,621,1996-05
46,536,621,1996-05
47,40,727,1996-05
48,536,727,1996-05
49,99,1232,1996-05
50,191,1232,1996-05
51,353,1232,1996-05
52,99,1230,1996-05
53,136,1230,1996-05
54,353,1230,1996-05
55,35,622,1996-05
56,99,622,1996-05
57,429,622,1996-05
58,99,1234,1996-05
59,284,1234,1996-05
60,353,1234,1996-05
61,284,504,1996-05
62,353,504,1996-05
63,99,1235,1996-05
64,353,1235,1996-05
65,99,1237,1996-05
66,536,1237,1996-05
67,136,135,1996-05
68,536,135,1996-05
69,99,1229,1996-05
70,136,1229,1996-05
71,353,629,1996-05
72,444,629,1996-05
73,353,628,1996-05
74,436,628,1996-05
75,99,1233,1996-05
76,284,1233,1996-05
77,134,129,1996-05
78,429,129,1996-05
79,468,129,1996-05
80,429,776,1996-05
81,468,776,1996-05
82,99,1231,1996-05
83,191,1231,1996-05
84,35,620,1996-05
85,429,620,1996-05
86,136,133,1996-05
87,429,133,1996-05
88,99,1228,1996-05
89,130,1228,1996-05
90,191,287,1996-05
91,444,287,1996-05
92,191,286,1996-05
93,353,286,1996-05
94,136,132,1996-05
95,353,132,1996-05
96,40,728,1996-05
97,99,728,1996-05
98,40,723,1996-05
99,191,723,1996-05
100,284,506,1996-05
101,536,506,1996-05
102,99,1236,1996-05
103,429,1236,1996-05
104,136,134,1996-05
105,468,134,1996-05
106,40,722,1996-05
107,136,722,1996-05
108,284,505,1996-05
109,429,505,1996-05
110,109,74,1996-08
111,162,74,1996-08
112,179,74,1996-08
113,455,74,1996-08
114,476,74,1996-08
115,486,74,1996-08
116,498,74,1996-08
117,512,74,1996-08
118,38,648,1996-08
119,109,648,1996-08
120,176,648,1996-08
121,179,648,1996-08
122,229,648,1996-08
123,447,648,1996-08
124,486,648,1996-08
125,498,648,1996-08
126,512,648,1996-08
127,574,648,1996-08
128,588,648,1996-08
129,602,648,1996-08
130,109,80,1996-08
131,179,80,1996-08
132,486,80,1996-08
133,498,80,1996-08
134,512,80,1996-08
135,541,80,1996-08
136,584,80,1996-08
137,592,80,1996-08
138,109,79,1996-08
139,179,79,1996-08
140,486,79,1996-08
141,498,79,1996-08
142,512,79,1996-08
143,176,229,1996-08
144,455,229,1996-08
145,512,229,1996-08
146,574,229,1996-08
147,588,229,1996-08
148,602,229,1996-08
149,56,1005,1996-08
150,235,1005,1996-08
151,349,1005,1996-08
152,411,1005,1996-08
153,455,1005,1996-08
154,485,1005,1996-08
155,512,1005,1996-08
156,592,1005,1996-08
157,46,860,1996-08
158,176,860,1996-08
159,512,860,1996-08
160,574,860,1996-08
161,588,860,1996-08
162,592,860,1996-08
163,602,860,1996-08
164,176,232,1996-08
165,512,232,1996-08
166,574,232,1996-08
167,588,232,1996-08
168,602,232,1996-08
169,38,649,1996-08
170,176,649,1996-08
171,229,649,1996-08
172,476,649,1996-08
173,486,649,1996-08
